gid,funcs
1,['GO:0065007']
5,"['GO:0008152', 'GO:0009987']"
9,"['GO:0051179', 'GO:0009987']"
12,"['GO:0051179', 'GO:0009987']"
18,"['GO:0008152', 'GO:0009987']"
20,"['GO:0008152', 'GO:0009987']"
26,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
30,"['GO:0008152', 'GO:0009987']"
35,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
36,['GO:0065007']
40,['GO:0050896']
50,['GO:0065007']
55,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
71,"['GO:0008152', 'GO:0009987']"
72,"['GO:0009987', 'GO:0065007']"
79,"['GO:0051179', 'GO:0009987']"
80,"['GO:0008152', 'GO:0009987']"
81,"['GO:0008152', 'GO:0009987']"
86,['GO:0065007']
87,"['GO:0044419', 'GO:0002376', 'GO:0050896']"
89,['GO:0009987']
90,"['GO:0008152', 'GO:0009987']"
106,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
111,"['GO:0051179', 'GO:0050896', 'GO:0065007', 'GO:0009987']"
119,['GO:0032502']
128,"['GO:0008152', 'GO:0009987']"
133,"['GO:0008152', 'GO:0009987']"
140,"['GO:0051179', 'GO:0009987', 'GO:0065007']"
145,['GO:0065007']
152,['GO:0009987']
153,"['GO:0008152', 'GO:0009987']"
163,"['GO:0032502', 'GO:0051179', 'GO:0022414', 'GO:0009987', 'GO:0032501', 'GO:0000003']"
164,"['GO:0008152', 'GO:0009987']"
173,['GO:0008152']
180,"['GO:0008152', 'GO:0009987']"
182,"['GO:0008152', 'GO:0009987']"
188,"['GO:0051179', 'GO:0009987']"
189,"['GO:0008152', 'GO:0009987']"
192,"['GO:0008152', 'GO:0009987']"
197,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
199,['GO:0065007']
205,"['GO:0008152', 'GO:0009987']"
211,['GO:0009987']
228,"['GO:0065007', 'GO:0009987']"
232,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
234,"['GO:0008152', 'GO:0009987']"
236,"['GO:0008152', 'GO:0009987']"
244,"['GO:0051179', 'GO:0009987']"
251,"['GO:0008152', 'GO:0009987']"
253,"['GO:0008152', 'GO:0009987']"
254,"['GO:0008152', 'GO:0009987']"
261,"['GO:0008152', 'GO:0009987']"
263,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
264,"['GO:0051179', 'GO:0009987']"
265,['GO:0065007']
276,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
286,['GO:0009987']
291,"['GO:0008152', 'GO:0009987']"
294,"['GO:0008152', 'GO:0009987']"
302,['GO:0050896']
307,['GO:0008152']
310,"['GO:0065007', 'GO:0023052', 'GO:0032502', 'GO:0009987', 'GO:0032501', 'GO:0050896']"
315,"['GO:0008152', 'GO:0009987']"
323,"['GO:0008152', 'GO:0051179', 'GO:0065007', 'GO:0009987']"
326,"['GO:0065007', 'GO:0023052', 'GO:0008152', 'GO:0009987', 'GO:0050896']"
330,"['GO:0050896', 'GO:0009987', 'GO:0065007', 'GO:0023052']"
333,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
340,['GO:0009987']
345,"['GO:0008152', 'GO:0009987']"
350,"['GO:0051179', 'GO:0009987']"
351,"['GO:0008152', 'GO:0009987']"
363,['GO:0050896']
372,"['GO:0008152', 'GO:0009987']"
373,"['GO:0008152', 'GO:0009987']"
380,"['GO:0051179', 'GO:0065007', 'GO:0009987']"
388,"['GO:0008152', 'GO:0009987']"
392,"['GO:0050896', 'GO:0009987']"
393,"['GO:0051179', 'GO:0009987']"
394,['GO:0008152']
397,['GO:0009987']
398,"['GO:0008152', 'GO:0009987']"
406,['GO:0065007']
421,"['GO:0051179', 'GO:0009987']"
422,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
424,"['GO:0050896', 'GO:0065007']"
428,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
433,"['GO:0008152', 'GO:0009987']"
439,['GO:0065007']
441,['GO:0065007']
445,['GO:0065007']
450,"['GO:0008152', 'GO:0009987']"
453,['GO:0009987']
456,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
459,"['GO:0008152', 'GO:0009987']"
466,"['GO:0051179', 'GO:0009987']"
468,"['GO:0008152', 'GO:0009987']"
485,"['GO:0008152', 'GO:0009987']"
488,"['GO:0050896', 'GO:0009987', 'GO:0065007', 'GO:0023052']"
494,"['GO:0008152', 'GO:0009987']"
510,"['GO:0008152', 'GO:0009987']"
519,"['GO:0008152', 'GO:0009987']"
523,"['GO:0051179', 'GO:0009987']"
526,"['GO:0008152', 'GO:0009987']"
528,"['GO:0051179', 'GO:0009987']"
538,"['GO:0008152', 'GO:0009987']"
541,"['GO:0051179', 'GO:0009987', 'GO:0065007']"
544,"['GO:0008152', 'GO:0009987']"
545,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
555,"['GO:0008152', 'GO:0009987']"
567,"['GO:0008152', 'GO:0065007', 'GO:0009987']"
572,"['GO:0051179', 'GO:0009987', 'GO:0065007']"
579,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
581,"['GO:0008152', 'GO:0009987']"
582,['GO:0009987']
591,"['GO:0050896', 'GO:0009987', 'GO:0065007', 'GO:0023052']"
592,['GO:0009987']
596,"['GO:0023052', 'GO:0050896', 'GO:0009987', 'GO:0065007']"
610,"['GO:0065007', 'GO:0023052', 'GO:0032502', 'GO:0009987', 'GO:0050896']"
612,"['GO:0008152', 'GO:0009987']"
623,"['GO:0008152', 'GO:0051179', 'GO:0009987']"
627,['GO:0065007']
629,"['GO:0008152', 'GO:0009987']"
636,"['GO:0051179', 'GO:0065007', 'GO:0009987']"
644,"['GO:0051179', 'GO:0009987']"
647,['GO:0065007']
649,['GO:0008152']
656,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
692,"['GO:0051179', 'GO:0009987']"
694,"['GO:0008152', 'GO:0009987']"
705,"['GO:0008152', 'GO:0009987']"
726,"['GO:0008152', 'GO:0009987']"
727,"['GO:0008152', 'GO:0009987']"
728,"['GO:0051179', 'GO:0009987']"
736,"['GO:0008152', 'GO:0050896', 'GO:0009987']"
746,"['GO:0008152', 'GO:0009987']"
749,"['GO:0051179', 'GO:0009987']"
757,"['GO:0008152', 'GO:0009987']"
765,"['GO:0032502', 'GO:0009987']"
